Gender,Height,Weight,Index,,,female,male
Female,150,143,5,,,150,150
Female,168,96,3,,,168,168
Female,168,71,3,,,168,168
Female,186,135,4,,,186,186
Female,190,100,3,,,190,190
Female,164,88,5,,,164,164
Female,185,97,5,,,185,185
Female,188,80,2,,,188,188
Female,161,108,4,,,161,161
Male,158,146,5,,,,
Male,178,81,3,,,,
Male,none,156,5,,,,
Male,181,111,4,,,,
Male,147,156,5,,,,
Male,142,117,4,,,,
Male,146,145,5,,,,
Male,173,86,3,,,,
Male,170,60,3,,,,
Male,190,87,4,,,,
Male,168,60,2,,,,
Male,153,54,0,,,,
Male,162,70,2,,,,
Male,185,136,5,,,,
Male,192,79,4,,,,
Male,169,139,4,,,,
Male,172,101,4,,,,
Male,172,154,5,,,,
Male,147,62,3,,,,
Male,162,54,2,,,,
Male,152,110,4,,,,
Male,165,121,5,,,,
Male,157,126,4,,,,
Male,186,123,4,,,,
Male,195,158,5,,,,
Male,141,107,4,,,,
Male,191,50,0,,,,
Male,150,62,1,,,,
Male,153,135,5,,,,
Male,181,154,5,,,,
Male,179,105,4,,,,
Male,177,101,3,,,,
Male,185,132,4,,,,
Male,163,159,5,,,,
Male,147,136,4,,,,
Male,167,149,5,,,,
Male,187,61,3,,,,
Male,183,92,4,,,,
Male,167,138,5,,,,
Male,168,156,5,,,,
Male,150,54,1,,,,
Male,none,85,3,,,,
Male,170,115,4,,,,
Male,150,96,5,,,,
Male,195,126,5,,,,
Male,187,108,5,,,,
Male,188,95,5,,,,
Male,194,146,5,,,,
Male,150,99,5,,,,
Male,186,94,5,,,,
Male,182,147,5,,,,
Male,171,154,5,,,,
Male,185,61,3,,,,
Male,none,109,4,,,,
Male,180,101,5,,,,
Male,176,156,4,,,,
Male,162,70,3,,,,
Male,155,95,4,,,,
Male,197,159,5,,,,
Male,184,138,5,,,,
Male,183,69,1,,,,
Male,166,68,3,,,,
Male,146,131,5,,,,
Male,185,143,5,,,,
Male,153,111,4,,,,
Male,193,65,1,,,,
Male,191,145,5,,,,
Male,189,85,4,,,,
Male,187,57,1,,,,
Male,196,70,4,,,,
Male,181,62,1,,,,
Male,183,54,1,,,,
Male,192,137,4,,,,
Male,198,104,5,,,,
Male,166,52,2,,,,
Male,171,101,3,,,,
Male,180,59,1,,,,
Male,156,147,5,,,,
Male,169,54,0,,,,
Male,167,150,5,,,,
Male,166,none,5,,,,
Male,140,142,5,,,,
Male,152,90,3,,,,
Male,183,92,2,,,,
Male,140,141,5,,,,
Male,176,135,5,,,,
Male,184,140,5,,,,
Male,146,79,2,,,,
Male,156,84,3,,,,
Male,187,120,4,,,,
Male,164,87,3,,,,
Male,192,115,5,,,,
Male,195,110,4,,,,
Male,186,118,5,,,,
Male,168,57,1,,,,
Male,155,62,2,,,,
Male,150,79,2,,,,
Male,172,126,5,,,,
Male,186,141,5,,,,
Male,177,122,4,,,,
Male,180,146,5,,,,
Male,172,156,5,,,,
Male,190,83,2,,,,
Male,177,143,5,,,,
Male,169,136,4,,,,
Male,184,109,5,,,,
Male,168,110,4,,,,
Male,157,83,2,,,,
Male,145,50,1,,,,
Male,177,93,3,,,,
Male,148,76,2,,,,
Male,167,118,5,,,,
Male,169,86,5,,,,
Male,182,107,4,,,,
Male,179,85,5,,,,
Male,167,141,5,,,,
Male,192,132,4,,,,
Male,189,126,4,,,,
Male,163,105,4,,,,
Male,149,50,2,,,,
Male,154,87,2,,,,
Male,170,73,2,,,,
Male,176,86,5,,,,
Male,188,152,5,,,,
Male,154,61,2,,,,
Male,166,75,3,,,,
Male,149,87,4,,,,
Male,147,153,5,,,,
Male,172,52,2,,,,
Male,146,130,4,,,,
Male,165,94,3,,,,
Male,196,96,3,,,,
Male,162,145,5,,,,
Male,171,153,5,,,,
Male,141,110,5,,,,
Male,195,106,4,,,,
Male,167,84,4,,,,
Male,186,61,2,,,,
Male,156,51,2,,,,
Male,180,132,5,,,,
Male,183,104,5,,,,
Male,164,83,4,,,,
Male,199,57,0,,,,
Male,145,109,4,,,,
Male,186,71,3,,,,
Male,182,50,0,,,,
Male,175,155,5,,,,
Male,143,153,5,,,,
Male,178,115,5,,,,
Male,164,141,5,,,,
Male,196,155,5,,,,
Male,153,116,4,,,,
Male,175,147,4,,,,
Male,none,135,5,,,,
Male,184,128,4,,,,
Male,142,149,4,,,,
Male,184,140,5,,,,
Male,150,95,4,,,,
Male,142,121,4,,,,
Male,177,84,3,,,,
Male,150,80,2,,,,
Male,157,70,3,,,,
Male,157,72,3,,,,
Male,187,115,4,,,,
Male,185,81,3,,,,
Male,183,141,5,,,,
Male,161,149,5,,,,
Male,184,67,2,,,,
Male,154,147,5,,,,
Male,159,99,2,,,,
Male,none,114,4,,,,
Male,163,146,5,,,,
Male,164,100,5,,,,
Male,198,72,2,,,,
Male,171,83,4,,,,
Male,155,154,5,,,,
Male,177,83,3,,,,
Male,195,119,5,,,,
Male,168,69,1,,,,
Male,188,115,3,,,,
Male,184,139,5,,,,
Male,182,52,3,,,,
Male,188,148,4,,,,
Male,164,50,0,,,,
Male,153,60,1,,,,
Male,179,117,5,,,,
Male,184,81,4,,,,
Male,179,none,5,,,,
Male,197,52,0,,,,
Male,165,99,3,,,,
Male,161,122,4,,,,
Male,150,131,5,,,,
Male,168,110,5,,,,
Male,168,134,5,,,,
Male,186,117,4,,,,
Male,190,none,5,,,,
Male,164,130,5,,,,
Male,185,138,5,,,,
Male,188,158,5,,,,
Male,161,155,5,,,,
